Name,Specialties,Gender,Language,Video_Visit,City,Zipcode,Total_Reviews,Overall_Ratings,Wait_Time_Score,Manner_Score,Level_1,Level_2,Doc_Urls
"Dr. Rita Aronov, MD",Pediatric Doctors,Female,English,False,Brooklyn,11201,88.0,4.97,4.67,5.0,0,0,https://www.zocdoc.com/doctor/rita-aronov-md-56921
"Dr. Rita Aronov, MD",Pediatric Doctors,Female,Russian,False,Brooklyn,11201,88.0,4.97,4.67,5.0,0,1,https://www.zocdoc.com/doctor/rita-aronov-md-56921
"Dr. Tamir Danilov, DPM",Podiatrist,Male,English,False,New York,10002,148.0,4.89,4.53,4.9,0,0,https://www.zocdoc.com/doctor/tamir-danilov-dpm-183785
"Dr. Tamir Danilov, DPM",Podiatrist,Male,Spanish,False,New York,10002,148.0,4.89,4.53,4.9,0,1,https://www.zocdoc.com/doctor/tamir-danilov-dpm-183785
"Dr. Tamir Danilov, DPM",Podiatrist,Male,Russian,False,New York,10002,148.0,4.89,4.53,4.9,0,2,https://www.zocdoc.com/doctor/tamir-danilov-dpm-183785
"Dr. Demetrios Mihalos, DDS",Dentist,Male,English,False,New York,10065,400.0,4.93,4.79,4.94,0,0,https://www.zocdoc.com/dentist/demetrios-mihalos-dds-42392
"Dr. Demetrios Mihalos, DDS",Dentist,Male,Greek,False,New York,10065,400.0,4.93,4.79,4.94,0,1,https://www.zocdoc.com/dentist/demetrios-mihalos-dds-42392
"Dr. Chunpang (Tony) Shen, MD",Pediatric Doctors,Male,English,True,New York,,15.0,4.67,3.53,4.87,0,0,https://www.zocdoc.com/doctor/chunpang-tony-shen-md-204804
"Dr. Chunpang (Tony) Shen, MD",Pediatric Doctors,Male,Chinese (Mandarin),True,New York,,15.0,4.67,3.53,4.87,0,1,https://www.zocdoc.com/doctor/chunpang-tony-shen-md-204804
"Dr. Irina Mikheyeva, DO",OB-GYN,Female,English,True,Brooklyn,11223,261.0,4.25,3.07,4.4,0,0,https://www.zocdoc.com/doctor/irina-mikheyeva-do-9303
"Dr. Irina Mikheyeva, DO",OB-GYN,Female,Russian,True,Brooklyn,11223,261.0,4.25,3.07,4.4,0,1,https://www.zocdoc.com/doctor/irina-mikheyeva-do-9303
"Dr. Irina Mikheyeva, DO",OB-GYN,Female,Ukrainian,True,Brooklyn,11223,261.0,4.25,3.07,4.4,0,2,https://www.zocdoc.com/doctor/irina-mikheyeva-do-9303
"Dr. Raja Aghabi, DDS",Dentist,Female,English,False,Valley Stream,11580,70.0,4.81,4.65,4.88,0,0,https://www.zocdoc.com/dentist/raja-aghabi-dds-107290
"Dr. Raja Aghabi, DDS",Dentist,Female,French,False,Valley Stream,11580,70.0,4.81,4.65,4.88,0,1,https://www.zocdoc.com/dentist/raja-aghabi-dds-107290
"Dr. Raja Aghabi, DDS",Dentist,Female,Spanish,False,Valley Stream,11580,70.0,4.81,4.65,4.88,0,2,https://www.zocdoc.com/dentist/raja-aghabi-dds-107290
"Dr. Raja Aghabi, DDS",Dentist,Female,Arabic,False,Valley Stream,11580,70.0,4.81,4.65,4.88,0,3,https://www.zocdoc.com/dentist/raja-aghabi-dds-107290
"Dr. Raja Aghabi, DDS",Specialist,Female,English,False,Valley Stream,11580,70.0,4.81,4.65,4.88,2,0,https://www.zocdoc.com/dentist/raja-aghabi-dds-107290
"Dr. Raja Aghabi, DDS",Specialist,Female,French,False,Valley Stream,11580,70.0,4.81,4.65,4.88,2,1,https://www.zocdoc.com/dentist/raja-aghabi-dds-107290
"Dr. Raja Aghabi, DDS",Specialist,Female,Spanish,False,Valley Stream,11580,70.0,4.81,4.65,4.88,2,2,https://www.zocdoc.com/dentist/raja-aghabi-dds-107290
