Name,Specialties,Gender,Language,City,Zipcode,Overall_Ratings,Total_Reviews,Wait_Time_Score,Manner_Score,Video_Visit,Doc_Urls
"Dr. Rita Aronov, MD",Pediatrician,Female,"English
Russian","Brooklyn, NY",11201,4.97,88 reviews,4.67,5.00,False,https://www.zocdoc.com/doctor/rita-aronov-md-56921
"Dr. Tamir Danilov, DPM",Podiatrist,Male,"English
Spanish
Russian","New York, NY",10002,4.89,148 reviews,4.53,4.90,False,https://www.zocdoc.com/doctor/tamir-danilov-dpm-183785
"Dr. Demetrios Mihalos, DDS","Dentist, Cosmetic Dentist",Male,"English
Greek","New York, NY",10065,4.93,400 reviews,4.79,4.94,False,https://www.zocdoc.com/dentist/demetrios-mihalos-dds-42392
"Dr. Chunpang (Tony) Shen, MD",Pediatrician,Male,"English
Chinese (Mandarin)","New York, NY",None,4.67,15 reviews,3.53,4.87,True,https://www.zocdoc.com/doctor/chunpang-tony-shen-md-204804
"Dr. Irina Mikheyeva, DO",OB-GYN,Female,"English
Russian
Ukrainian","Brooklyn, NY",11223,4.25,261 reviews,3.07,4.40,True,https://www.zocdoc.com/doctor/irina-mikheyeva-do-9303
"Dr. Raja Aghabi, DDS","Dentist, Cosmetic Dentist, Dental Pain Specialist",Female,"English
French
Spanish
Arabic","Valley Stream, NY",11580,4.81,70 reviews,4.65,4.88,False,https://www.zocdoc.com/dentist/raja-aghabi-dds-107290
"Dr. Nicole Carreau, MD","Oncologist, Hematologist",Female,English,"New York, NY",10028,4.57,30 reviews,3.93,4.75,False,https://www.zocdoc.com/doctor/nicole-carreau-md-287624
"Dr. Karen Kang, DDS","Prosthodontist, Dentist, Cosmetic Dentist",Female,"English
French
Spanish
view all","New York, NY",10018,4.60,248 reviews,4.61,4.63,False,https://www.zocdoc.com/dentist/karen-kang-dds-30514
"Dr. Howard J. Spielman, DDS","Dentist, Cosmetic Dentist",Male,English,"New York, NY",10022,4.80,40 reviews,4.79,4.85,False,https://www.zocdoc.com/dentist/howard-j-spielman-dds-1449
"Dr. Meghan Bishop, MD","Orthopedic Surgeon, Sports Medicine Specialist, Shoulder Surgeon",Female,English,"New York, NY",None,4.89,141 reviews,4.54,4.88,True,https://www.zocdoc.com/doctor/meghan-bishop-md-281720
"Dr. Oren Rahmanan, DDS","Dentist, Cosmetic Dentist",Male,English,"New York, NY",10020,4.91,171 reviews,4.79,4.93,False,https://www.zocdoc.com/dentist/oren-rahmanan-dds-32750
"Erica Suskin, LMSW",Psychotherapist,Female,English,"New York, NY",10001,None,None,None,None,True,https://www.zocdoc.com/professional/erica-suskin-lmsw-295023
"Ellen Lehman, LCSW",Psychotherapist,Female,English,"New York, NY",10028,None,None,None,None,True,https://www.zocdoc.com/professional/ellen-lehman-lcsw-298366
"Dr. Claudia Holland, MD","Gynecologist, OB-GYN",Female,"English
French
Spanish","New York, NY",10128,4.64,908 reviews,3.39,4.66,False,https://www.zocdoc.com/doctor/claudia-holland-md-15998
"Joseph Sacks, LCSW",Psychotherapist,Male,"English
Spanish
Hebrew","New York, NY",None,3.90,10 reviews,4.56,3.89,True,https://www.zocdoc.com/professional/joseph-sacks-lcsw-298230
"Dr. Pinkus Szuchmacher, MD",Vascular Surgeon,Male,"English
Spanish
Portuguese
Yiddish","Astoria, NY",None,None,None,None,None,True,https://www.zocdoc.com/doctor/pinkus-szuchmacher-md-287011
"Dr. Karen Shiu, DC",Chiropractor,Female,"English
Chinese (Cantonese)","New York, NY",10012,5.00,22 reviews,5.00,5.00,False,https://www.zocdoc.com/doctor/karen-shiu-dc-183329
"Dr. James McKinsey, MD",Vascular Surgeon,Male,English,"New York, NY",10019,None,None,None,None,False,https://www.zocdoc.com/doctor/james-mckinsey-md-243661
"Dr. Jonathan Richards, DPM",Podiatrist,Male,English,"New York, NY",10004,4.90,345 reviews,4.61,4.89,False,https://www.zocdoc.com/doctor/jonathan-richards-dpm-176911
"Dr. Jacob Leigh, DPM",Podiatrist,Male,"English
Korean","Cedarhurst, NY",11516,4.92,25 reviews,4.76,4.90,True,https://www.zocdoc.com/doctor/jacob-leigh-dpm-287283
"Karen Keys, LMHC",Psychotherapist,Female,English,"New York, NY",10001,5.00,8 reviews,5.00,5.00,True,https://www.zocdoc.com/professional/karen-keys-lmhc-297352
"Dr. Cindy Serra, OD",Optometrist,Female,"English
Spanish
Portuguese","Bronx, NY",10467,4.92,73 reviews,4.48,4.89,False,https://www.zocdoc.com/doctor/cindy-serra-od-261443
"Dr. A. Reza Radjabi, MD",Reproductive Endocrinologist,Male,"English
German
Farsi
Italian","New York, NY",10019,4.78,65 reviews,4.71,4.86,True,https://www.zocdoc.com/doctor/a-reza-radjabi-md-222337
"Dr. Albert Bassoul, MD",Pediatrician,Male,"English
Hebrew
Arabic","Brooklyn, NY",11223,4.65,136 reviews,4.59,4.72,False,https://www.zocdoc.com/doctor/albert-bassoul-md-1879
"Dr. Monica Schadlow, MD, FAAD",Dermatologist,Female,English,"New York, NY",10017,4.86,999 reviews,4.55,4.88,True,https://www.zocdoc.com/doctor/monica-schadlow-md-faad-74260
"Heather Johnson, PAC",Physician Assistant,Female,English,"New York, NY",10006,4.91,85 reviews,4.68,4.90,True,https://www.zocdoc.com/doctor/heather-johnson-pac-206338
"Dr. Kenneth Yuth, DMD",Dentist,Male,English,"New York, NY",10023,5.00,2 reviews,5.00,5.00,False,https://www.zocdoc.com/dentist/kenneth-yuth-dmd-294128
